Symbol,Name,IPOYear,Sector,industry,primaryExchange,secType,currency,exchange,priceIncrement
ZEAL,Zealand Pharma A/S,2017,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
ZBRA,Zebra Technologies Corporation,1991,Technology,Industrial Machinery/Components,ISLAND,STK,USD,,
Z,"Zillow Group, Inc.",,Miscellaneous,Business Services,ISLAND,STK,USD,,
ZG,"Zillow Group, Inc.",2011,Miscellaneous,Business Services,ISLAND,STK,USD,,
ZN,Zion Oil & Gas Inc,,Energy,Oil & Gas Production,ISLAND,STK,USD,,
ZNWAA,Zion Oil & Gas Inc,,Energy,Oil & Gas Production,ISLAND,STK,USD,,
ZION,Zions Bancorporation,,Finance,Major Banks,ISLAND,STK,USD,,
ZIONW,Zions Bancorporation,,Finance,Major Banks,ISLAND,STK,USD,,
ZIONZ,Zions Bancorporation,,Finance,Major Banks,ISLAND,STK,USD,,
ZIOP,ZIOPHARM Oncology Inc,,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
ZIXI,Zix Corporation,,Technology,EDP Services,ISLAND,STK,USD,,
ZKIN,"ZK International Group Co., Ltd",2017,Capital Goods,Metal Fabrications,ISLAND,STK,USD,,
ZGNX,"Zogenix, Inc.",2010,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
ZSAN,Zosano Pharma Corporation,2015,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
ZS,"Zscaler, Inc.",2018,Technology,EDP Services,ISLAND,STK,USD,,
ZUMZ,Zumiez Inc.,2005,Consumer Services,Clothing/Shoe/Accessory Stores,ISLAND,STK,USD,,
ZYNE,"Zynerba Pharmaceuticals, Inc.",2015,Health Care,Major Pharmaceuticals,ISLAND,STK,USD,,
ZNGA,Zynga Inc.,2011,Technology,EDP Services,ISLAND,STK,USD,,
DDD,3D Systems Corporation,,Technology,Computer Software: Prepackaged Software,NYSE,STK,USD,,
MMM,3M Company,,Health Care,Medical/Dental Instruments,NYSE,STK,USD,,
WBAI,500.com Limited,2013,Consumer Services,Services-Misc. Amusement & Recreation,NYSE,STK,USD,,
WUBA,58.com Inc.,2013,Technology,"Computer Software: Programming, Data Processing",NYSE,STK,USD,,
EGHT,8x8 Inc,,Public Utilities,Telecommunications Equipment,NYSE,STK,USD,,
AHC,A.H. Belo Corporation,,Consumer Services,Newspapers/Magazines,NYSE,STK,USD,,
ATEN,"A10 Networks, Inc.",2014,Technology,Computer Communications Equipment,NYSE,STK,USD,,
AAC,"AAC Holdings, Inc.",2014,Health Care,Medical Specialities,NYSE,STK,USD,,
AIR,AAR Corp.,,Capital Goods,Aerospace,NYSE,STK,USD,,
AAN,"Aaron&#39;s,  Inc.",,Technology,Diversified Commercial Services,NYSE,STK,USD,,
ABB,ABB Ltd,,Consumer Durables,Electrical Products,NYSE,STK,USD,,
ABT,Abbott Laboratories,,Health Care,Major Pharmaceuticals,NYSE,STK,USD,,
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals,NYSE,STK,USD,,
ANF,Abercrombie & Fitch Company,,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,STK,USD,,
AGD,Aberdeen Global Dynamic Dividend Fund,2006,n/a,n/a,NYSE,STK,USD,,
AWP,Aberdeen Global Premier Properties Fund,2007,n/a,n/a,NYSE,STK,USD,,
ACP,Aberdeen Income Credit Strategies Fund,2011,n/a,n/a,NYSE,STK,USD,,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",1992,n/a,n/a,NYSE,STK,USD,,
AOD,Aberdeen Total Dynamic Dividend Fund,2007,n/a,n/a,NYSE,STK,USD,,
ABM,ABM Industries Incorporated,,Finance,Diversified Commercial Services,NYSE,STK,USD,,
AKR,Acadia Realty Trust,,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
ACN,Accenture plc,2001,Miscellaneous,Business Services,NYSE,STK,USD,,
ACCO,Acco Brands Corporation,,Consumer Durables,Publishing,NYSE,STK,USD,,
ATV,"Acorn International, Inc.",2007,Consumer Services,Other Specialty Stores,NYSE,STK,USD,,
ATU,Actuant Corporation,,Technology,Industrial Machinery/Components,NYSE,STK,USD,,
AYI,Acuity Brands Inc,,Consumer Durables,Building Products,NYSE,STK,USD,,
GOLF,Acushnet Holdings Corp.,2016,Consumer Non-Durables,Recreational Products/Toys,NYSE,STK,USD,,
ADX,"Adams Diversified Equity Fund, Inc.",,n/a,n/a,NYSE,STK,USD,,
PEO,"Adams Natural Resources Fund, Inc.",,n/a,n/a,NYSE,STK,USD,,
AGRO,Adecoagro S.A.,2011,Consumer Non-Durables,Farming/Seeds/Milling,NYSE,STK,USD,,
ADNT,Adient plc,2016,Capital Goods,Auto Parts:O.E.M.,NYSE,STK,USD,,
ADT,ADT Inc.,2018,Consumer Services,Diversified Commercial Services,NYSE,STK,USD,,
ATGE,Adtalem Global Education Inc.,,Consumer Services,Other Consumer Services,NYSE,STK,USD,,
