Date,Open,High,Low,Close,Adj Close,Volume
2018-02-02,280.08,280.23,275.41,275.45,267.83,173174800
2018-02-05,273.45,275.85,263.31,263.93,256.63,294681800
2018-02-06,259.94,269.7,258.7,269.13,261.68,355026800
2018-02-07,268.5,272.36,267.58,267.67,260.26,167376100
2018-02-08,268.01,268.17,257.59,257.63,250.5,246449500
2018-02-09,260.8,263.61,252.92,261.5,254.26,283565300
2018-02-12,263.83,267.01,261.66,265.34,258.0,143736000
2018-02-13,263.97,266.62,263.31,266.0,258.64,81223600
2018-02-14,264.31,270.0,264.3,269.59,262.13,120735700
2018-02-15,271.57,273.04,268.77,273.03,265.47,111200300
2018-02-16,272.32,275.32,272.27,273.11,265.55,160420100
2018-02-20,272.03,273.67,270.5,271.4,263.89,86369700
2018-02-21,271.9,274.72,269.94,270.05,262.58,98883700
2018-02-22,271.1,273.05,269.64,270.4,262.92,110511300
2018-02-23,271.79,274.71,271.25,274.71,267.11,92766400
2018-02-26,275.93,278.01,275.26,277.9,270.21,86491400
2018-02-27,278.11,278.92,274.36,274.43,266.84,99099200
2018-02-28,275.68,276.19,271.29,271.65,264.13,121907800
2018-03-01,271.41,273.17,266.0,267.7,260.29,176855100
2018-03-02,265.8,269.72,264.82,269.08,261.63,139083200
2018-03-05,267.73,272.89,267.61,272.19,264.66,97307400
2018-03-06,273.3,273.39,271.18,272.88,265.33,79213200
2018-03-07,270.42,273.18,270.2,272.78,265.23,87063500
2018-03-08,273.55,274.24,272.42,274.1,266.51,66901200
2018-03-09,275.7,278.87,275.34,278.87,271.15,113625300
2018-03-12,279.2,279.91,278.08,278.52,270.81,71924800
2018-03-13,279.84,280.41,276.03,276.72,269.06,91968900
2018-03-14,277.81,278.02,274.67,275.3,267.68,105895100
2018-03-15,275.88,276.61,274.43,275.0,267.39,83433000
2018-03-16,274.5,275.39,274.14,274.2,267.68,100343700
2018-03-19,273.35,274.4,268.62,270.49,264.06,109208400
2018-03-20,270.94,271.67,270.18,270.95,264.51,59757300
2018-03-21,270.9,273.27,270.19,270.43,264.0,78709600
2018-03-22,267.91,268.87,263.36,263.67,257.4,148785900
2018-03-23,264.17,264.54,257.83,258.05,251.91,183534800
2018-03-26,262.13,265.43,259.41,265.11,258.81,141956100
2018-03-27,266.17,266.77,258.84,260.6,254.4,129941400
2018-03-28,260.75,262.64,258.58,259.83,253.65,146452300
2018-03-29,261.12,265.26,259.84,263.15,256.89,111601600
2018-04-02,262.55,263.13,254.67,257.47,251.35,186286300
2018-04-03,258.87,261.31,256.84,260.77,254.57,119956900
2018-04-04,256.75,264.36,256.6,263.56,257.29,123715300
2018-04-05,265.55,266.64,264.32,265.64,259.32,82652600
2018-04-06,263.42,265.11,258.0,259.72,253.54,179521200
2018-04-09,261.37,264.84,259.94,261.0,254.79,105442900
2018-04-10,264.27,266.04,262.98,265.15,258.84,103529000
