date,prices
24-11-2011 22:00,1.22706
25-11-2011 22:00,1.231565
28-11-2011 22:00,1.22866
29-11-2011 22:00,1.22631
30-11-2011 22:00,1.22787
01-12-2011 22:00,1.2326
02-12-2011 22:00,1.23376
05-12-2011 22:00,1.23358
06-12-2011 22:00,1.24097
07-12-2011 22:00,1.238735
08-12-2011 22:00,1.23557
09-12-2011 22:00,1.235525
12-12-2011 22:00,1.23589
13-12-2011 22:00,1.23264
14-12-2011 22:00,1.237465
15-12-2011 22:00,1.22375
16-12-2011 22:00,1.220845
19-12-2011 22:00,1.21839
20-12-2011 22:00,1.218755
21-12-2011 22:00,1.22093
22-12-2011 22:00,1.22156
23-12-2011 22:00,1.22263
26-12-2011 22:00,1.22268
27-12-2011 22:00,1.22069
28-12-2011 22:00,1.21966
29-12-2011 22:00,1.218525
30-12-2011 22:00,1.216675
02-01-2012 22:00,1.215535
03-01-2012 22:00,1.21651
04-01-2012 22:00,1.218945
05-01-2012 22:00,1.218015
06-01-2012 22:00,1.215035
09-01-2012 22:00,1.21231
10-01-2012 22:00,1.212735
11-01-2012 22:00,1.21256
12-01-2012 22:00,1.210395
13-01-2012 22:00,1.207055
16-01-2012 22:00,1.20868
17-01-2012 22:00,1.20924
18-01-2012 22:00,1.208465
19-01-2012 22:00,1.2087
20-01-2012 22:00,1.208455
23-01-2012 22:00,1.20762
24-01-2012 22:00,1.2092
25-01-2012 22:00,1.20788
26-01-2012 22:00,1.20644
27-01-2012 22:00,1.20632
30-01-2012 22:00,1.205415
31-01-2012 22:00,1.20395
01-02-2012 22:00,1.204545
02-02-2012 22:00,1.205045
03-02-2012 22:00,1.20819
06-02-2012 22:00,1.20633
07-02-2012 22:00,1.209035
08-02-2012 22:00,1.20988
09-02-2012 22:00,1.211325
10-02-2012 22:00,1.209575
13-02-2012 22:00,1.208665
14-02-2012 22:00,1.20754
15-02-2012 22:00,1.20675
16-02-2012 22:00,1.207075
17-02-2012 22:00,1.20865
20-02-2012 22:00,1.207255
21-02-2012 22:00,1.20754
22-02-2012 22:00,1.20588
23-02-2012 22:00,1.205275
24-02-2012 22:00,1.205285
27-02-2012 22:00,1.204975
28-02-2012 22:00,1.205215
29-02-2012 22:00,1.205235
01-03-2012 22:00,1.20596
02-03-2012 22:00,1.20669
05-03-2012 22:00,1.20595
06-03-2012 22:00,1.20486
07-03-2012 22:00,1.205345
08-03-2012 22:00,1.205645
09-03-2012 22:00,1.205655
12-03-2012 21:00,1.20572
13-03-2012 21:00,1.207725
14-03-2012 21:00,1.212835
15-03-2012 21:00,1.20766
16-03-2012 21:00,1.20626
19-03-2012 21:00,1.206345
20-03-2012 21:00,1.205675
21-03-2012 21:00,1.20564
22-03-2012 21:00,1.20568
23-03-2012 21:00,1.205
26-03-2012 21:00,1.20612
27-03-2012 21:00,1.205225
28-03-2012 21:00,1.205435
29-03-2012 21:00,1.205405
30-03-2012 21:00,1.204125
02-04-2012 21:00,1.203865
03-04-2012 21:00,1.203885
04-04-2012 21:00,1.20361
05-04-2012 21:00,1.20169
06-04-2012 21:00,1.20091
09-04-2012 21:00,1.202005
10-04-2012 21:00,1.20142
11-04-2012 21:00,1.202565
12-04-2012 21:00,1.20168
13-04-2012 21:00,1.202545
16-04-2012 21:00,1.2019
17-04-2012 21:00,1.201515
18-04-2012 21:00,1.201915
19-04-2012 21:00,1.202185
20-04-2012 21:00,1.201695
23-04-2012 21:00,1.201875
24-04-2012 21:00,1.201565
25-04-2012 21:00,1.2017
26-04-2012 21:00,1.201635
27-04-2012 21:00,1.201405
30-04-2012 21:00,1.20134
01-05-2012 21:00,1.2016
02-05-2012 21:00,1.20154
03-05-2012 21:00,1.20149
04-05-2012 21:00,1.20134
07-05-2012 21:00,1.201365
08-05-2012 21:00,1.20116
09-05-2012 21:00,1.201045
10-05-2012 21:00,1.20112
11-05-2012 21:00,1.20119
14-05-2012 21:00,1.201085
15-05-2012 21:00,1.201045
16-05-2012 21:00,1.20105
17-05-2012 21:00,1.20102
18-05-2012 21:00,1.20117
21-05-2012 21:00,1.20123
22-05-2012 21:00,1.201205
23-05-2012 21:00,1.20102
24-05-2012 21:00,1.201345
25-05-2012 21:00,1.20117
28-05-2012 21:00,1.20204
29-05-2012 21:00,1.201005
30-05-2012 21:00,1.200905
31-05-2012 21:00,1.20105
01-06-2012 21:00,1.20127
04-06-2012 21:00,1.20102
05-06-2012 21:00,1.20103
06-06-2012 21:00,1.20074
07-06-2012 21:00,1.201055
08-06-2012 21:00,1.20121
11-06-2012 21:00,1.20102
12-06-2012 21:00,1.20107
13-06-2012 21:00,1.20103
14-06-2012 21:00,1.20103
15-06-2012 21:00,1.201145
18-06-2012 21:00,1.20096
19-06-2012 21:00,1.200955
20-06-2012 21:00,1.20113
21-06-2012 21:00,1.200945
22-06-2012 21:00,1.20081
25-06-2012 21:00,1.200965
26-06-2012 21:00,1.20101
27-06-2012 21:00,1.201045
28-06-2012 21:00,1.201025
29-06-2012 21:00,1.201165
02-07-2012 21:00,1.20116
03-07-2012 21:00,1.20104
04-07-2012 21:00,1.201185
05-07-2012 21:00,1.201185
06-07-2012 21:00,1.200985
09-07-2012 21:00,1.201
10-07-2012 21:00,1.200735
11-07-2012 21:00,1.200365
12-07-2012 21:00,1.200845
13-07-2012 21:00,1.20089
16-07-2012 21:00,1.20097
17-07-2012 21:00,1.20139
18-07-2012 21:00,1.200785
19-07-2012 21:00,1.201005
20-07-2012 21:00,1.201035
23-07-2012 21:00,1.200905
24-07-2012 21:00,1.201005
25-07-2012 21:00,1.201045
26-07-2012 21:00,1.200965
27-07-2012 21:00,1.20116
30-07-2012 21:00,1.20116
31-07-2012 21:00,1.201645
01-08-2012 21:00,1.20163
02-08-2012 21:00,1.20107
03-08-2012 21:00,1.201905
06-08-2012 21:00,1.2014
07-08-2012 21:00,1.201285
08-08-2012 21:00,1.20128
09-08-2012 21:00,1.20104
10-08-2012 21:00,1.20089
13-08-2012 21:00,1.20101
14-08-2012 21:00,1.2011
15-08-2012 21:00,1.20105
16-08-2012 21:00,1.20109
17-08-2012 21:00,1.20108
20-08-2012 21:00,1.201105
21-08-2012 21:00,1.200995
22-08-2012 21:00,1.200965
23-08-2012 21:00,1.20101
24-08-2012 21:00,1.200815
27-08-2012 21:00,1.20105
28-08-2012 21:00,1.20091
29-08-2012 21:00,1.201255
30-08-2012 21:00,1.20092
31-08-2012 21:00,1.20091
03-09-2012 21:00,1.200275
04-09-2012 21:00,1.20108
05-09-2012 21:00,1.204105
06-09-2012 21:00,1.204575
07-09-2012 21:00,1.20981
10-09-2012 21:00,1.20735
11-09-2012 21:00,1.20704
12-09-2012 21:00,1.209
13-09-2012 21:00,1.214845
14-09-2012 21:00,1.217105
17-09-2012 21:00,1.216285
