,close,high,low,open,volume
1605125700,356.11,356.21,356.07,356.21,843
1605125760,356.16,356.19,356.08,356.11,819
1605125820,356.08,356.25,356.04,356.16,1232
1605125880,356.1,356.16,356.03,356.07,299
1605125940,356.17,356.19,356.0,356.12,1020
1605126000,355.99,356.18,355.84,356.17,957
1605126060,355.82,356.03,355.74,355.99,4199
1605126120,355.6,355.87,355.59,355.81,3748
1605126180,355.51,355.73,355.39,355.6,1458
1605126240,355.63,355.69,355.5,355.5,811
1605126300,355.68,355.72,355.49,355.63,801
1605126360,355.75,355.89,355.67,355.67,814
1605126420,355.66,355.76,355.6,355.75,1002
1605126480,355.45,355.64,355.43,355.63,1229
1605126540,355.4,355.56,355.4,355.44,781
1605126600,355.51,355.54,355.32,355.4,1292
1605126660,355.67,355.72,355.43,355.51,890
1605126720,355.83,355.92,355.68,355.69,1125
1605126780,355.79,355.85,355.73,355.83,790
1605126840,355.77,355.93,355.69,355.8,898
1605126900,355.68,355.8,355.57,355.76,1103
1605126960,355.7,355.78,355.54,355.66,1367
1605127020,355.92,355.92,355.67,355.7,859
1605127080,355.92,355.98,355.8,355.9,1023
1605127140,356.05,356.13,355.92,355.92,1006
1605127200,356.06,356.1,355.97,356.05,1161
1605127260,356.05,356.1,355.97,356.06,1103
1605127320,356.16,356.19,356.0,356.05,773
1605127380,356.25,356.25,356.12,356.17,1143
1605127440,356.33,356.41,356.25,356.25,1255
1605127500,356.32,356.39,356.22,356.33,1095
1605127560,356.22,356.38,356.18,356.32,1101
1605127620,356.44,356.48,356.23,356.23,1734
1605127680,356.48,356.56,356.39,356.44,2398
1605127740,356.64,356.66,356.39,356.48,2068
1605127800,356.61,356.89,356.58,356.66,2766
1605127860,356.6,356.65,356.49,356.6,3005
1605127920,356.83,356.86,356.61,356.61,3210
1605127980,356.77,356.86,356.73,356.82,2567
1605128040,356.69,356.88,356.67,356.77,3283
1605128100,356.57,356.69,356.43,356.68,3243
1605128160,356.52,356.61,356.49,356.58,3017
1605128220,356.51,356.57,356.43,356.5,3152
1605128280,356.65,356.66,356.47,356.5,6507
1605128340,356.61,356.88,356.54,356.65,14779
1605191400,355.54,355.77,355.51,355.58,4215
